Type,beneficial_inst_P,neutral_inst_P,deleterious_inst_P,beneficial_inst_S,neutral_inst_S,deleterious_inst_S,beneficial_effective_P,neutral_effective_P,deleterious_effective_P,beneficial_effective_S,neutral_effective_S,deleterious_effective_S,dNdneutral_1,dNdneutral_2,dNdneutral_3,dNdneutral_4,dNdneutral_5,dNdneutral_6,dNdneutral_7,dNdneutral_8,dNdneutral_9,dNdneutral_10,dNdneutral_11,dNdneutral_12,dNdneutral_13,dNdneutral_14,dNdneutral_15,dNdneutral_16,dNdneutral_17,dNdneutral_18,dNdneutral_19,dNdneutral_20,dNdneutral_21,dNdneutral_22,dNdneutral_23,dNdneutral_24,dNdneutral_25,dNdneutral_26,dNdneutral_27,dNdneutral_28,dNdneutral_29,dNdneutral_30
quasi_neufrac0.05,0.02109122218472331,0.09196711425944286,0.8869416635558338,0.024007220812859758,0.8290075646148523,0.146985214572288,0.018656220494240854,0.09196711425944286,0.8893766652463164,0.02626132035800747,0.8290075646148523,0.14473111502714034,0.05260416666666667,0.0671875,0.0640625,0.0578125,0.05520833333333333,0.05677083333333333,0.0546875,0.06145833333333333,0.058854166666666666,0.0609375,0.05520833333333333,0.058854166666666666,0.0625,0.065625,0.06197916666666667,0.06510416666666667,0.051041666666666666,0.0546875,0.06145833333333333,0.04895833333333333,0.06458333333333334,0.053125,0.050520833333333334,0.05677083333333333,0.053125,0.05677083333333333,0.06197916666666667,0.053125,0.04791666666666667,0.0671875
quasi_neufrac0.15,0.016511310833338018,0.25609095062477993,0.7273977385418822,0.009517585356436192,0.9465970657586531,0.04388534888491068,0.015021298343740575,0.25609095062477993,0.7288877510314794,0.010889967296941682,0.9465970657586531,0.04251296694440519,0.16302083333333334,0.15,0.1625,0.14791666666666667,0.1546875,0.15885416666666666,0.15989583333333332,0.16458333333333333,0.14895833333333333,0.15833333333333333,0.16302083333333334,0.15572916666666667,0.159375,0.15729166666666666,0.15989583333333332,0.15260416666666668,0.15885416666666666,0.17552083333333332,0.15989583333333332,0.16145833333333334,0.16510416666666666,0.17447916666666666,0.13697916666666668,0.17291666666666666,0.146875,0.15833333333333333,0.1625,0.14166666666666666,0.17083333333333334,0.14583333333333334
quasi_neufrac0.2,0.015146912502318933,0.32702194635656334,0.6578311411411176,0.006527481104883089,0.9573564718019629,0.0361160470931541,0.013317547203176877,0.32702194635656334,0.6596605064402598,0.0071449263459109034,0.9573564718019629,0.03549860185212629,0.20625,0.19166666666666668,0.19947916666666668,0.1890625,0.20729166666666668,0.203125,0.209375,0.20052083333333334,0.19114583333333332,0.221875,0.203125,0.20729166666666668,0.20052083333333334,0.1953125,0.21302083333333333,0.20520833333333333,0.20052083333333334,0.20416666666666666,0.19322916666666667,0.19479166666666667,0.19322916666666667,0.20833333333333334,0.22708333333333333,0.20729166666666668,0.1921875,0.19479166666666667,0.2109375,0.2015625,0.1984375,0.2140625
quasi_neufrac0.25,0.014309266607813379,0.3950074732773532,0.5906832601148336,0.0038970976784910407,0.9722787221610116,0.023824180160497307,0.0125769994475063,0.3950074732773532,0.5924155272751406,0.004727882294198405,0.9722787221610116,0.022993395544789942,0.26666666666666666,0.2713541666666667,0.24635416666666668,0.22447916666666667,0.24010416666666667,0.25,0.2640625,0.2552083333333333,0.24947916666666667,0.240625,0.2609375,0.23177083333333334,0.25052083333333336,0.259375,0.24479166666666666,0.2677083333333333,0.23333333333333334,0.23125,0.2520833333333333,0.2635416666666667,0.24583333333333332,0.27395833333333336,0.2703125,0.25625,0.25104166666666666,0.2375,0.23802083333333332,0.24947916666666667,0.27291666666666664,0.25052083333333336
quasi_lambda2,0.01802212061816356,0.1810779688427616,0.8008999105390748,0.0011557284519724182,0.9248000252958499,0.07404424625217773,0.006378281138447145,0.1810779688427616,0.8125437500187912,0.0,0.9248000252958499,0.07519997470415016,0.10989583333333333,0.10520833333333333,0.11770833333333333,0.10833333333333334,0.10104166666666667,0.10520833333333333,0.12447916666666667,0.10885416666666667,0.0984375,0.1109375,0.10260416666666666,0.10677083333333333,0.10833333333333334,0.10677083333333333,0.11302083333333333,0.10989583333333333,0.10104166666666667,0.10833333333333334,0.10833333333333334,0.11666666666666667,0.10260416666666666,0.11197916666666667,0.10260416666666666,0.08854166666666667,0.103125,0.11145833333333334,0.09947916666666666,0.11041666666666666,0.10260416666666666,0.09583333333333334
quasi_lambda4,0.01735232338777635,0.1792034089777782,0.8034442676344454,0.0023048655464893986,0.9291008743287359,0.06859426012477472,0.0069941507125035034,0.1792034089777782,0.8138024403097184,0.0,0.9291008743287359,0.07089912567126412,0.0984375,0.10989583333333333,0.10052083333333334,0.10520833333333333,0.0984375,0.10364583333333334,0.11041666666666666,0.1078125,0.10885416666666667,0.10625,0.0953125,0.11770833333333333,0.10572916666666667,0.11354166666666667,0.1140625,0.1109375,0.11197916666666667,0.09635416666666667,0.1,0.09791666666666667,0.10208333333333333,0.1046875,0.10989583333333333,0.11145833333333334,0.10104166666666667,0.10885416666666667,0.10052083333333334,0.10260416666666666,0.10677083333333333,0.096875
quasi_lambda6,0.016864284221484335,0.18020337204566256,0.8029323437328532,0.0012946883099698163,0.9234755844738074,0.07522972721622277,0.007810065120546149,0.18020337204566256,0.811986562833791,0.0,0.9234755844738074,0.0765244155261926,0.11666666666666667,0.10260416666666666,0.09895833333333333,0.1171875,0.10104166666666667,0.10729166666666666,0.1046875,0.10520833333333333,0.1109375,0.11666666666666667,0.1125,0.1125,0.10677083333333333,0.1046875,0.10729166666666666,0.103125,0.1,0.10833333333333334,0.10729166666666666,0.09947916666666666,0.10260416666666666,0.109375,0.1046875,0.10625,0.11822916666666666,0.11197916666666667,0.12083333333333333,0.10625,0.10416666666666667,0.1171875
quasi_lambda8,0.01675799201932839,0.18106629461606208,0.8021757133646096,0.0015737334638343933,0.9312698003962964,0.06715646613986906,0.00872386307745618,0.18106629461606208,0.8102098423064821,0.0,0.9312698003962964,0.06873019960370344,0.109375,0.09947916666666666,0.103125,0.11822916666666666,0.10520833333333333,0.09791666666666667,0.1140625,0.10260416666666666,0.1125,0.09739583333333333,0.11354166666666667,0.1046875,0.10364583333333334,0.10729166666666666,0.1046875,0.10520833333333333,0.103125,0.11770833333333333,0.10520833333333333,0.09583333333333334,0.09895833333333333,0.10520833333333333,0.1234375,0.12447916666666667,0.109375,0.103125,0.10104166666666667,0.1078125,0.10572916666666667,0.11041666666666666
quasi_lambda10,0.01735416715833021,0.17780844902741363,0.8048373838142562,0.0013281816037227234,0.9241090122743625,0.07456280612191472,0.009496903419925309,0.17780844902741363,0.812694647552661,0.0,0.9241090122743625,0.07589098772563746,0.10885416666666667,0.10677083333333333,0.115625,0.10625,0.11510416666666666,0.10572916666666667,0.11666666666666667,0.09947916666666666,0.10572916666666667,0.10885416666666667,0.10885416666666667,0.09739583333333333,0.103125,0.1078125,0.09270833333333334,0.09010416666666667,0.10989583333333333,0.10833333333333334,0.11197916666666667,0.0984375,0.1109375,0.10729166666666666,0.1234375,0.10989583333333333,0.10520833333333333,0.11041666666666666,0.11979166666666667,0.11614583333333334,0.10989583333333333,0.10572916666666667
quasi_AP0.15,0.017769399383927204,0.178689293585297,0.8035413070307759,0.005594774587165544,0.9230473107775906,0.07135791463524362,0.015624294893807199,0.178689293585297,0.8056864115208957,0.005316708166075244,0.9230473107775906,0.07163598105633391,0.11145833333333334,0.1125,0.11197916666666667,0.10729166666666666,0.09739583333333333,0.11145833333333334,0.1125,0.1046875,0.1078125,0.1109375,0.1046875,0.09791666666666667,0.1015625,0.10364583333333334,0.1140625,0.09635416666666667,0.10260416666666666,0.109375,0.11979166666666667,0.10625,0.10052083333333334,0.10052083333333334,0.1015625,0.10104166666666667,0.10625,0.1140625,0.10364583333333334,0.10052083333333334,0.10677083333333333,0.109375
quasi_AP0.35,0.02040671967196857,0.17887436968884093,0.8007189106391905,0.03633628859138762,0.8804026163583077,0.08326109505030456,0.018576853027568965,0.17887436968884093,0.8025487772835902,0.04639623769202613,0.8804026163583077,0.07320114594966605,0.10885416666666667,0.1171875,0.1015625,0.1109375,0.1140625,0.11458333333333333,0.11354166666666667,0.1015625,0.1015625,0.11145833333333334,0.11197916666666667,0.11458333333333333,0.11875,0.11197916666666667,0.11927083333333334,0.109375,0.11666666666666667,0.11458333333333333,0.11041666666666666,0.10208333333333333,0.10989583333333333,0.1109375,0.11302083333333333,0.10572916666666667,0.1171875,0.11875,0.11979166666666667,0.12135416666666667,0.11197916666666667,0.11770833333333333
quasi_AP0.45,0.02202637024429997,0.17859658685257904,0.7993770429031211,0.13846110518657814,0.7490341232967848,0.11250477151663704,0.02191564877726391,0.17859658685257904,0.7994877643701572,0.18823212899649905,0.7490341232967848,0.0627337477067162,0.13385416666666666,0.12708333333333333,0.12916666666666668,0.13333333333333333,0.13489583333333333,0.13072916666666667,0.13697916666666668,0.14479166666666668,0.13229166666666667,0.1359375,0.12239583333333333,0.13229166666666667,0.1234375,0.125,0.1359375,0.13385416666666666,0.13697916666666668,0.13854166666666667,0.12604166666666666,0.1296875,0.1265625,0.14739583333333334,0.1375,0.13072916666666667,0.13697916666666668,0.13125,0.12708333333333333,0.140625,0.1296875,0.14270833333333333
quasi_AP0.5,0.022210426630396074,0.17441997328299666,0.8033696000866072,0.2538046649735419,0.5920282319486495,0.15416710307780837,0.023620257779873057,0.17441997328299666,0.8019597689371304,0.35659893754828215,0.5920282319486495,0.05137283050306821,0.16614583333333333,0.16666666666666666,0.17135416666666667,0.20520833333333333,0.1625,0.16979166666666667,0.165625,0.15677083333333333,0.165625,0.1828125,0.15416666666666667,0.16510416666666666,0.1546875,0.16458333333333333,0.17239583333333333,0.16510416666666666,0.16354166666666667,0.1609375,0.17083333333333334,0.17395833333333333,0.16875,0.1703125,0.1796875,0.18958333333333333,0.16354166666666667,0.17708333333333334,0.1546875,0.1703125,0.19322916666666667,0.16666666666666666
